1,The decline and fall of the Roman Empire,"Gibbon, Edward",DG311 Gib.,History,9781853264993,,
2,The history of the Peloponnesian War,"Thucydides; Crawley, Richard",DF229.T5 Thu.,History,9780140440393,,
3,Silence: in the age of noise,"Kagge, Erling",BJ1499.S5 Kag.,Philosophy,9780241309872,,
4,Principles of Physics,"Halliday, David; Walker, Jearl; Resnick, Robert",QC21.3 Hal.,Physics,9780470524633,,
5,Quantum Mechanics,"Bransden, B.H.; Joachain, C.J",QC174.12 Bra.,Physics,9788131708392,,
6,The Feynman lectures on physics,"Feynman, Richard P.; Leighton, Robert B.; Sands, Matthew L.",QC23 Fey.,Physcs,9780201021172,,
7,Multiple scale and singular perturbation methods,"Kevorkian, J.; Cole, Julian D.",QA371 Kev.,Mathematics,9780387942025,,
8,APA handbook of research methods in psychology,"Cooper, Harris M.",BF76.5 Apa.,Psychology,9781433810039,,
9,Fourier Transforms of Invariant Functions on Finite Reductive Lie Algebras,"Letellier, Emmanuel",QA3 Let. ,Mathematics,9783540240204,,
10,Principles of conservation biology,"Groom, Martha J.; Meffe, Gary K.; Carroll, Carl Ronald",QH75 Pri.,Biology,9780878935185,,
11,To kill a mockingbird,"Lee, Harper",PS3562.E353 Lee.,Literature,9780099549482,,
12,Middlemarch,"Eliot, George",PR4662 Eli.,Literature,9780140620764,,
13,Oedipus,"Seneca, Lucius Annaeus",PA6666.O5 Sen.,Literature,9781784350161,,
14,"Understanding Scots law : an introduction to Scots law, procedure and legal skills","Ashton, Christina",KDC330 Und.,Law,9780414016910,,
15,Law of contract,"Brown, Ian; Chandler, Adrian",KD1554.Z9 Bro.,Law,9780199559558,,
16,An introduction to the theory of control in mechanical engineering,"Macmillan, R. H.",TJ1055 Macm.,Mechanical Engineering,9781316611845,,
17,Fundamentals of thermodynamics,"Borgnakke, Claus; Sonntag, Richard Edwin",TJ265 Bor.,Mechanical Engineering,9780471829331,,
18,How to lie with statistics,"Huff, Darrell",HA29 Huf.,Statistics,9780140213003,,
19,Naked statistics: stripping the dread from the data,"Wheelan, Charles J.",QA276 Whe.,Statistics,9780393347777,,
20,Doing data science: Straight talk from the frontline,"Schutt, Rachel; O'Neil, Cathy",QA76.9.D343 Sch.,Data Science,9781449358655,,
21,Starting out with C++: early objects,"Gaddis, Tony; Walters, Judy; Muganda, Godfrey",QA76.73.C153 Gad.,Computer Science,9780136077749,,
22,Learn you a Haskell for great good!,"Lipovača, Miran",QA76.73.H37 Lip.,Computer Science,9781593272838,,
23,Introduction to functional programming using Haskell,"Bird, Richard",QA76.62 Bir.,Computer Science,9780134843469,,
24,Artificial Intelligence: a new synthesis,"Nilsson, Nils John",Q335 Nil.,Artificial Intelligence,9781558605350,,
25,Artificial Intelligence: a modern approach,"Russel, Stuart J.; Norvig, Peter; Davis, Ernest",Q335 Rus.,Artificial Intelligence,9780130803023,,
26,Aerospace propulsion,"Shepherd, Dennis Granville.",TL709 She.,Aeronautics/Astronautics,9780444001269,,
27,Inflationary Cosmology,"Lemoine, Martin; Martin, Jérôme; Peter, Patrick",QB991.I54 Inf.,Astronomy,9783540743521,,
28,Exchange rates and international macroeconomics,"Frenkel, Jacob A.",HG205 Exc.,Economics,9780226262499,,
29,Government and economic development,"Ranis, Gustav",HD82 Gov.,Economics,9780300014174,,
30,Economic growth in the third world,"Reynolds, Lloyd George",HC59.7 Rey.,Economics,9780300036787,,
